id;nome;data_nascimento;cpf;sexo;tipo_pessoa;data_cadastro;data_atualizacao
a47f7531-29ed-4ae9-945b-a1aa8cef7bae;ouro Borracha Licenciado;2022-10-03;New;MASCULINO;PROFESSOR;2022-10-03T23:37:57;2022-10-04T02:10:43
227a3dfa-1ab8-4cfc-a1c6-a00d6e1eba68;neural;2022-10-03;Madeira Account Multi-tiered;FEMININO;PROFESSOR;2022-10-04T08:53:53;2022-10-04T00:21:22
63415294-f9c0-4482-b8f3-46e822d7af35;6th;2022-10-03;Saúde;FEMININO;ALUNO;2022-10-03T19:29:41;2022-10-03T19:36:33
5caa4af5-d970-46ef-b9bd-b57810300325;Account Berkshire Mouse;2022-10-04;parsing;FEMININO;PROFESSOR;2022-10-04T12:22:13;2022-10-03T16:26:37
dedea10c-c1f9-4591-973b-e53642f42882;best-of-breed azul Re-engineered;2022-10-04;reboot Marginal bypassing;MASCULINO;ALUNO;2022-10-04T10:19:42;2022-10-04T10:59:33
ce31c0a7-ec6e-46b4-8591-50371def938e;Islândia AI Salgadinhos;2022-10-03;Factors Naira transform;MASCULINO;PROFESSOR;2022-10-03T14:29:43;2022-10-03T16:56:14
f55682d3-c80f-4789-875f-70d29d1a0ccd;Genérico;2022-10-03;Pequeno Profit-focused;FEMININO;PROFESSOR;2022-10-04T04:48:13;2022-10-03T14:35:17
fa5761a0-ed48-4d7c-86aa-0b03944b3fea;Account;2022-10-03;Alameda intermediate;FEMININO;ALUNO;2022-10-03T16:02:43;2022-10-03T18:15:20
e39a9350-99fd-4831-bb4b-f6a04620051e;primary e-business;2022-10-03;Operations Lituânia;MASCULINO;PROFESSOR;2022-10-04T02:48:36;2022-10-04T10:10:16
ee8b8790-fd96-4339-ae1a-d2fab92d6842;payment Planner;2022-10-04;quantifying deliver;MASCULINO;PROFESSOR;2022-10-04T11:55:37;2022-10-04T01:39:42
